INFO  2019-05-28 10:16:35,864 [24   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/swagger-ui.css  
INFO  2019-05-28 10:16:35,892 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/swagger-ui-standalone-preset.js  
INFO  2019-05-28 10:16:35,919 [6    ] NetCore.StaticFiles.StaticFileMiddleware - The file /swagger-ui-bundle.js was not modified
INFO  2019-05-28 10:16:35,921 [12   ] NetCore.StaticFiles.StaticFileMiddleware - The file /swagger-ui-standalone-preset.js was not modified
INFO  2019-05-28 10:16:35,925 [24   ] NetCore.StaticFiles.StaticFileMiddleware - The file /swagger-ui.css was not modified
INFO  2019-05-28 10:16:35,939 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 77.969ms 304 application/javascript
INFO  2019-05-28 10:16:35,946 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 61.9191ms 304 application/javascript
INFO  2019-05-28 10:16:35,957 [24   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 73.0296ms 304 text/css
INFO  2019-05-28 10:16:36,416 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/v1/swagger.json  
INFO  2019-05-28 10:16:36,420 [6    ] uthentication.JwtBearer.JwtBearerHandler - Successfully validated the token.
INFO  2019-05-28 10:16:37,071 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 654.7632ms 200 application/json;charset=utf-8
INFO  2019-05-28 10:16:52,082 [10   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method JIT.JIT.TaskAssignment.VW_MODispBillList.VW_MODispBillListAppService.GetAll (JIT.DIME2Barcode), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 52583.4579ms.
INFO  2019-05-28 10:16:52,140 [11   ] .Mvc.Infrastructure.ObjectResultExecutor - Executing ObjectResult, writing value of type 'Abp.Web.Models.AjaxResponse'.
INFO  2019-05-28 10:16:52,154 [11   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action JIT.JIT.TaskAssignment.VW_MODispBillList.VW_MODispBillListAppService.GetAll (JIT.DIME2Barcode) in 59121.3907ms
INFO  2019-05-28 10:16:52,157 [11   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 64103.4126ms 200 application/json; charset=utf-8
DEBUG 2019-05-28 10:18:19,484 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
DEBUG 2019-05-28 10:18:19,605 [1    ] Abp.Modules.AbpModuleManager             - Found 16 ABP modules in total.
DEBUG 2019-05-28 10:18:19,643 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.InfomationSystem.Web.Host.Startup.InfomationSystemWebHostModule, JIT.InfomationSystem.Web.Host, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,646 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.InfomationSystem.InfomationSystemWebCoreModule, JIT.InfomationSystem.Web.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,647 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.InfomationSystem.InfomationSystemApplicationModule, JIT.InfomationSystem.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,647 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.InfomationSystem.InfomationSystemCoreModule, JIT.InfomationSystem.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,647 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCoreModule, Abp.ZeroCore, Version=4.3.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,647 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCommonModule, Abp.Zero.Common, Version=4.3.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,648 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AbpKernelModule, Abp, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,648 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AutoMapper.AbpAutoMapperModule, Abp.AutoMapper, Version=4.3.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,649 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.InfomationSystem.EntityFrameworkCore.InfomationSystemEntityFrameworkModule, JIT.InfomationSystem.EntityFrameworkCore, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,649 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.EntityFrameworkCore.AbpZeroCoreEntityFrameworkCoreModule, Abp.ZeroCore.EntityFrameworkCore, Version=4.3.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,649 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule, Abp.EntityFrameworkCore, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,649 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFramework.AbpEntityFrameworkCommonModule, Abp.EntityFramework.Common, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,650 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetCore.AbpAspNetCoreModule, Abp.AspNetCore, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,650 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.AbpWebCommonModule, Abp.Web.Common, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,650 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetCore.SignalR.AbpAspNetCoreSignalRModule, Abp.AspNetCore.SignalR, Version=4.3.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,650 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.DIME2Barcode.JITDIME2BarcodeModule, JIT.DIME2Barcode, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:18:19,653 [1    ] Abp.Modules.AbpModuleManager             - 16 modules loaded.
